EstimateValue	AverageEstimateDiscountedEpRet	StdEstimateDiscountedEpRet	MaxEstimateDiscountedEpRet	MinEstimateDiscountedEpRet	AverageEstimateEpRet	StdEstimateEpRet	MaxEstimateEpRet	MinEstimateEpRet	EstimateEpLen	EstimateBias	EstimateGt	TotalEnvInteracts	Time
0	0	0	0	0	0	0	0	0	0	0	0	000000	0
413.84195	380.08356	127.76306	535.9013	-72.40413	2156.133	457.6326	2592.4377	-364.99603	500.0	33.75838	380.08356	100000	1221.77259683609
567.17303	523.0822	123.436104	654.78485	-91.14987	2814.9458	528.1199	3203.9243	-462.61163	500.0	44.090862	523.08215	200000	2655.1895785331726
657.13245	628.23914	87.74016	754.2668	-41.03315	3391.901	208.81206	3689.427	992.26434	500.0	28.893341	628.23914	300000	4121.912816762924
738.9558	713.984	94.878296	859.635	49.609413	3859.3135	267.1253	4203.358	685.17883	500.0	24.97184	713.98395	400000	5601.379302978516
818.49335	783.1963	107.60144	939.00775	-93.26548	4257.1577	312.6224	4613.447	-299.99994	500.0	35.297016	783.19635	500000	7068.212815761566
883.1619	847.268	124.67562	1004.5124	-72.44573	4658.9985	390.49902	5027.3433	-300.02017	500.0	35.89399	847.26794	600000	8542.48155617714
948.9552	911.79193	119.45968	1074.0201	-99.816376	4991.925	397.7056	5385.595	-590.1388	500.0	37.163258	911.79193	700000	10014.39411497116
1004.6279	947.8345	107.46285	1130.7325	127.628876	5192.148	258.78143	5563.076	-86.928215	500.0	56.793407	947.83453	800000	11471.061613559723
1047.1327	978.78815	128.75485	1170.0881	-119.15808	5390.4395	314.98007	5795.041	-239.66968	500.0	68.34456	978.78815	900000	12930.535813331604
1097.5914	999.6035	127.3578	1195.5884	-11.545194	5456.493	311.27628	5974.218	-143.6671	500.0	97.98792	999.6035	1000000	14402.67870092392
1149.6117	1079.8063	106.19488	1231.9164	-57.440964	5825.741	374.69922	6188.107	-301.67218	500.0	69.80545	1079.8063	1100000	15882.070089578629
1188.8627	1095.6246	104.35844	1271.2375	80.199295	5880.207	355.94012	6321.427	-222.8742	500.0	93.23805	1095.6246	1200000	17355.69336104393
1216.9705	1103.9323	114.94648	1271.9537	-58.130554	5822.679	517.75146	6339.5947	-300.6481	500.0	113.03808	1103.9324	1300000	18830.63921189308
1234.5581	1153.9628	119.34175	1322.7954	-56.901566	6107.7065	461.1054	6572.952	-300.39362	500.0	80.59542	1153.9626	1400000	20308.7467148304
1259.7213	1185.5281	102.77365	1349.1544	-109.17963	6280.674	360.76382	6658.7495	-502.71915	500.0	74.193214	1185.5281	1500000	21790.559463500977
1278.9858	1154.1838	125.46135	1315.3284	-112.82896	6007.0674	542.1201	6446.945	-598.9042	500.0	124.80196	1154.1838	1600000	23266.23903632164
1296.5481	1223.4465	128.43773	1374.7285	-90.38711	6446.4097	576.76794	6828.6904	-427.24387	500.0	73.10158	1223.4465	1700000	24747.465765714645
1301.1654	1161.3455	170.67065	1345.2622	-74.55495	6034.2734	835.6678	6790.346	-349.62582	500.0	139.81989	1161.3456	1800000	26240.542600870132
1321.148	1237.5625	144.8982	1392.7045	-86.7958	6494.4473	672.19995	6932.106	-433.0123	500.0	83.585365	1237.5626	1900000	27747.057547092438
1325.0034	1251.7992	164.21614	1392.8156	-60.658024	6637.457	618.72797	7060.051	-307.64886	500.0	73.20406	1251.7993	2000000	29244.542120695114
1333.676	1252.3837	181.17903	1401.1661	-91.43932	6540.721	892.71924	6987.6587	-302.75748	500.0	81.29239	1252.3837	2100000	30744.746896982193
1342.4656	1263.1754	204.88293	1458.9883	-98.330215	6668.141	963.29407	7291.7495	-502.73267	500.0	79.2902	1263.1754	2200000	32237.60112285614
1365.1686	1253.504	173.80296	1401.4956	-84.06942	6566.0166	783.4228	6992.6353	-433.25308	500.0	111.66452	1253.504	2300000	33725.26259326935
1377.8544	1291.3063	159.63516	1438.252	-61.391926	6765.2026	709.692	7157.643	-301.9077	500.0	86.54806	1291.3063	2400000	35218.23703479767
1396.1627	1304.7565	204.61053	1476.7721	-93.37411	6809.853	1056.0375	7388.585	-484.0192	500.0	91.40621	1304.7565	2500000	36713.378957271576
1409.3353	1307.7145	172.18036	1454.7769	-66.28687	6818.437	784.0789	7276.044	-380.67142	500.0	101.6208	1307.7145	2600000	38200.55863785744
1423.0615	1332.983	175.6662	1473.502	-95.866234	6989.8247	757.70593	7432.436	-405.5446	500.0	90.078606	1332.9829	2700000	39604.10417890549
1433.1844	1295.146	195.7446	1477.282	-67.341324	6749.429	967.683	7336.095	-310.5854	500.0	138.03836	1295.1461	2800000	40815.95097064972
1444.5963	1360.7279	204.55247	1565.8988	-83.22356	7272.0444	841.37366	7822.1436	-357.34314	500.0	83.86851	1360.7278	2900000	42043.710456609726
1468.856	1376.2314	232.36374	1573.416	-93.739716	7215.155	1132.5488	7914.116	-462.6051	500.0	92.624466	1376.2314	3000000	43267.442081213
