EstimateValue	AverageEstimateDiscountedEpRet	StdEstimateDiscountedEpRet	MaxEstimateDiscountedEpRet	MinEstimateDiscountedEpRet	AverageEstimateEpRet	StdEstimateEpRet	MaxEstimateEpRet	MinEstimateEpRet	EstimateEpLen	EstimateBias	EstimateGt	TotalEnvInteracts	Time
0	0	0	0	0	0	0	0	0	0	0	0	000000	0
214.58485	398.39667	216.09152	612.0248	-57.40265	2205.8374	1170.6702	3073.1377	-297.7153	500.0	-183.81181	398.39667	100000	1094.1145582199097
410.87247	542.2488	185.38881	679.70386	-59.58921	2886.5088	946.2275	3410.4673	-300.79434	500.0	-131.3763	542.2488	200000	2370.6277780532837
500.01584	637.3049	177.7862	762.7201	-56.069313	3381.745	910.39716	3792.796	-305.06183	500.0	-137.28906	637.30493	300000	3662.0702831745148
563.74725	695.3791	175.18443	814.2807	-65.700806	3694.4973	886.3613	4118.0386	-294.93167	500.0	-131.6318	695.379	400000	4955.34552025795
607.8498	746.29767	163.34097	863.7339	7.161899	3954.2568	813.0117	4321.979	89.10092	500.0	-138.44792	746.2977	500000	6242.5474507808685
645.4069	791.62787	149.76654	901.0826	-68.11077	4182.337	736.72266	4546.777	-339.79126	500.0	-146.22092	791.6278	600000	7544.555949211121
663.66815	810.17645	150.76001	944.32886	-109.818825	4304.101	733.8671	4710.7935	-530.5146	500.0	-146.50827	810.17645	700000	8825.971059560776
696.26666	849.55975	145.58142	973.8154	-92.16156	4533.9214	706.68024	4898.849	-436.30215	500.0	-153.29308	849.55975	800000	10106.19283080101
713.52155	866.1308	173.02911	1000.88983	-25.65639	4634.426	861.27954	5065.19	-126.56847	500.0	-152.60925	866.1308	900000	11395.887901306152
744.8553	901.8886	162.15494	1052.0443	-18.02724	4806.445	807.0218	5249.7812	-56.045433	500.0	-157.03337	901.8887	1000000	12699.178628444672
796.8986	954.20593	63.04834	1076.034	660.49615	5084.4536	170.07846	5379.3696	2279.307	500.0	-157.30733	954.20593	1100000	14002.828475952148
825.7796	1005.04315	71.08319	1151.9708	219.82172	5394.9824	232.27103	5725.428	35.623344	500.0	-179.26349	1005.0431	1200000	15295.830171108246
868.72125	1074.4835	81.14401	1214.6635	-55.606915	5717.898	369.7167	6130.3706	-298.64215	500.0	-205.7622	1074.4834	1300000	16589.906406402588
894.61237	1100.2651	80.831	1259.2672	-54.258923	5836.273	422.19583	6207.188	-298.77023	500.0	-205.65274	1100.2651	1400000	17888.463292121887
919.1109	1119.833	69.666756	1251.6556	762.76196	5907.9443	262.72522	6255.795	1825.3429	500.0	-200.72198	1119.8329	1500000	19197.381577968597
946.84424	1186.2322	95.140175	1327.7734	-61.52797	6293.3145	428.00693	6690.456	-300.09097	500.0	-239.38788	1186.232	1600000	20485.603747844696
970.4262	1213.549	87.03539	1355.648	-10.448467	6502.4375	260.74353	6846.0596	-244.2522	500.0	-243.1228	1213.5491	1700000	21781.034564971924
983.2658	1232.7747	118.68922	1388.5435	-58.23956	6584.2866	464.1789	7056.355	-300.45358	500.0	-249.50874	1232.7745	1800000	23089.453310251236
1003.33484	1299.12	115.905205	1454.4049	-60.389683	6934.011	551.836	7369.7217	-300.3535	500.0	-295.78513	1299.12	1900000	24397.043597221375
1015.57	1315.5814	149.21587	1469.9391	-86.20765	6997.904	670.13324	7396.508	-432.0448	500.0	-300.01135	1315.5813	2000000	25709.83287167549
1023.10156	1322.7596	176.29126	1514.5873	-130.87596	6919.311	1075.1589	7612.341	-495.69113	500.0	-299.6581	1322.7596	2100000	27021.07916355133
1035.1112	1354.797	141.88066	1521.1451	-87.85355	7230.724	577.7785	7675.9062	-330.56006	500.0	-319.68582	1354.797	2200000	28327.549756526947
1048.7225	1388.1818	150.3904	1555.2096	-84.86707	7379.6797	584.0788	7879.8857	-340.67316	500.0	-339.45914	1388.1816	2300000	29644.376962661743
1059.6576	1383.8004	157.0942	1549.7883	-57.212486	7349.432	704.8964	7774.4614	-299.90805	500.0	-324.1427	1383.8003	2400000	30955.390520095825
1071.425	1397.7405	167.86353	1541.3236	-63.977116	7441.315	715.4125	7829.3706	-309.12485	500.0	-326.31537	1397.7405	2500000	32276.054222345352
1085.2136	1426.491	168.21457	1589.6285	-83.010155	7570.926	731.5537	7983.22	-447.99612	500.0	-341.2774	1426.4911	2600000	33592.30156135559
1091.0223	1418.007	188.83487	1566.9559	-61.37572	7437.253	902.8939	7874.797	-333.85107	500.0	-326.9847	1418.0071	2700000	34914.31859445572
1091.4255	1396.8145	180.09697	1565.4569	-110.078636	7369.84	795.60455	7836.769	-535.7716	500.0	-305.38904	1396.8146	2800000	36244.485558748245
1098.1062	1480.8435	158.9167	1612.9836	-51.709976	7916.39	653.76013	8197.394	-362.48264	500.0	-382.73727	1480.8435	2900000	37572.368039608
1103.2528	1454.9082	170.86957	1598.8069	-78.55922	7784.246	747.74347	8044.4014	-381.78427	500.0	-351.6555	1454.9083	3000000	38682.27900719643
